2026-06-15 08:48:49 [INFO] ===== 覆盖题逐题正收益（共 36 题, K=4 轮）=====
2026-06-15 08:48:49 [INFO] 题号 | with_tool对/K | no_tool对/K | 判定
2026-06-15 08:48:49 [INFO] 题0    | 3/4 | 2/4 | 正收益
2026-06-15 08:48:49 [INFO] 题1    | 4/4 | 4/4 | 中性
2026-06-15 08:48:49 [INFO] 题3    | 3/4 | 2/4 | 正收益
2026-06-15 08:48:49 [INFO] 题13   | 4/4 | 4/4 | 中性
2026-06-15 08:48:49 [INFO] 题14   | 1/4 | 3/4 | 负收益
2026-06-15 08:48:49 [INFO] 题22   | 3/4 | 2/4 | 正收益
2026-06-15 08:48:49 [INFO] 题26   | 0/4 | 2/4 | 负收益
2026-06-15 08:48:49 [INFO] 题36   | 2/4 | 2/4 | 中性
2026-06-15 08:48:49 [INFO] 题44   | 3/4 | 1/4 | 正收益
2026-06-15 08:48:49 [INFO] 题59   | 1/4 | 2/4 | 负收益
2026-06-15 08:48:49 [INFO] 题68   | 3/4 | 2/4 | 正收益
2026-06-15 08:48:49 [INFO] 题70   | 4/4 | 2/4 | 正收益
2026-06-15 08:48:49 [INFO] 题87   | 2/4 | 3/4 | 负收益
2026-06-15 08:48:49 [INFO] 题100  | 1/4 | 4/4 | 负收益
2026-06-15 08:48:49 [INFO] 题102  | 4/4 | 4/4 | 中性
2026-06-15 08:48:49 [INFO] 题112  | 3/4 | 4/4 | 负收益
2026-06-15 08:48:49 [INFO] 题114  | 3/4 | 4/4 | 负收益
2026-06-15 08:48:49 [INFO] 题115  | 1/4 | 1/4 | 中性
2026-06-15 08:48:49 [INFO] 题116  | 4/4 | 2/4 | 正收益
2026-06-15 08:48:49 [INFO] 题117  | 1/4 | 2/4 | 负收益
2026-06-15 08:48:49 [INFO] 题118  | 3/4 | 3/4 | 中性
2026-06-15 08:48:49 [INFO] 题126  | 4/4 | 3/4 | 正收益
2026-06-15 08:48:49 [INFO] 题130  | 1/4 | 1/4 | 中性
2026-06-15 08:48:49 [INFO] 题131  | 1/4 | 0/4 | 正收益
2026-06-15 08:48:49 [INFO] 题137  | 1/4 | 1/4 | 中性
2026-06-15 08:48:49 [INFO] 题140  | 2/4 | 4/4 | 负收益
2026-06-15 08:48:49 [INFO] 题144  | 3/4 | 3/4 | 中性
2026-06-15 08:48:49 [INFO] 题147  | 0/4 | 1/4 | 负收益
2026-06-15 08:48:49 [INFO] 题149  | 4/4 | 4/4 | 中性
2026-06-15 08:48:49 [INFO] 题165  | 2/4 | 3/4 | 负收益
2026-06-15 08:48:49 [INFO] 题173  | 4/4 | 4/4 | 中性
2026-06-15 08:48:49 [INFO] 题176  | 3/4 | 2/4 | 正收益
2026-06-15 08:48:49 [INFO] 题178  | 0/4 | 0/4 | 中性
2026-06-15 08:48:49 [INFO] 题185  | 0/4 | 0/4 | 中性
2026-06-15 08:48:49 [INFO] 题190  | 0/4 | 0/4 | 中性
2026-06-15 08:48:49 [INFO] 题191  | 2/4 | 1/4 | 正收益
2026-06-15 08:48:49 [INFO] ---- 覆盖题正收益分布: 正=11, 负=11, 中性=14 ----
2026-06-15 08:48:49 [INFO] 覆盖题正收益占比: 30.6%
